english	pāli	definition	details	sutta references	material references
. Dependent Co-arising	paṭicca samuppāda	basic sequence of factors in the causal patterns from effect to cause		DN 15; MN 9; Sn 3:12; Sn 12:2
. ignorance 	jarāmaraṇaṃ  	not knowing stress, the origination of stress, the cessation of stress or the way of practice leading to the cessation of stress
. fabrications	jāti 	bodily fabrications, verbal fabrications, mental fabrications
. consciousness	bhavo	eye-consciousness, ear-consciousness, nose-consciousness, tongue-consciousness, body-consciousness, intellect-consciousness
. name-&-form 	upādānaṃ 	feeling , perception, intention, contact and attention is name. The four great elements, and the form dependent on them is called form
. the six sense media 	taṇhā 	eye-medium, ear-medium, nose-medium, tongue-medium, body-medium, intellect-medium
. contact 	vedanā	 eye-contact, ear-contact, nose-contact, tongue-contact, body-contact, intellect-contact
. feeling	phasso contact	feeling born from eye-contact, ear-contact, nose-contact, tongue-contact, body-contact, intellect-contact
. craving 	saḷāyatanaṃ 	craving for forms, sounds, smells, tastes, tactile sensations, ideas
. clinging/sustenance 	nāmarūpaṃ	sensuality-clinging, view-clinging, habit-&-practice-clinging, doctrine-of-self-clinging. Also known as sustenance
. becoming	viññāṇaṃ 	sensual becoming, form becoming and formless becoming
. birth	saṅkhārā	descent, coming-to-be, coming-forth, appearance of aggregates and acquistion of sense media of various beings
. ageing and death	avijjā 	decreptiude, brokennes, decline of life-force, weakening of faculties is ageing. Deceasing, passing away, breaking up, disappeance, completion of time, break up of the aggregates, casting off of the body, interruption in the life faculty is death
