english	pāli	short definition	details	sutta references	material references
Four Frames of Reference	satipaṭṭhāna	4 Foundations of Mindfulness		MN 10
. Body	kāyānupassanā	Mindfulness of the Body	Remaining focused on the body in & of itself—ardent, alert, & mindful—putting aside greed & distress with reference to the world.
. Mindfulness of Feelings	vedanānupassanā	Mindfulness of Feelings	Remain focused on feelings in & of themselves - feeling a painful feeling, a pleasant feeling, or a neither-painful-nor-pleasant feeling, he discerns as such
. Mindfulness of Mind	cittānupassanā	Mindfulness of Mind	Remain focused on the mind in & of itself - Mind has passion, without passion, aversion, without aversion, delusion, without delusion, etc, and he/she discerns the mind as such
. Mindfulness of mental quality	dhammānupassanā	Mindfulness of Mental Qualities	Remain focused on the mental qualities in & of themelves - with reference to the five hindrances, four noble truths, seven factors for Awakening, sixfold internal & external sense media, five clinging-aggregates
Four Right Exertions	sammappadhāna
. Guard	anuppādāya	Restraining the 6 senses from unskilful contact	Not grasping at any theme or variations which unskillful qualitities such as greed or distress overwhelm upon reaching the faculty of eye, ear, nose, tongue, body & intellect
. Abandon	pahānāya	Giving up unskilful thoughts	Unskilful thoughts already arisen are to be dispelled including unskilful qualities
. Develop	uppādāya	Growing awakening factors	Starting to grow awakening factors such as mindfulness, serentiy, persistence, dependent on seclusion, dispassion, cessation and resulting in letting go
. Maintain	pāripūriyā	Keeps up favorable concentration	Favorable themes of concentration are kept going such as the skeleton perception, orm-eaten perception, livid perception, festering perception, falling-apart perception, bloated perception
Four Bases of Power	iddhipāda	Bases of Power		SN 51.2
. Desire	chandasamādhi	Concentration founded on desire & fabrications of exertion
. Persistence	vīriyasamādhi	Concentration founded on persistence
. Intent	cittasamādhi	Concentration founded on intent
. Discrimination	vīmaṃsāsamādhi	Concentration founded on discrimination & fabrications of exertion
Five Faculties	indrīya	Faculties		SN 48.8
. Conviction	saddhindriyaṃ	Faith as seen in the four factors of stream entry
. Persistence	vīriyindriyaṃ	Persistence as seen in the four right exertions
. Mindfulness	satindriyaṃ	Mindfulness as seen in the four frames of reference
. Concentration 	samādhindriyaṃ	Concentration as seen in the four jhānas
. Discernment	paññindriyaṃ 	Discernment as seen in the four noble truths
Five Strengths	bala			SN 50.1
. Faith	saddhindriyaṃ	The faculty of faith is to be seen in the four factors of stream entry	dependent on seclusion, dependent on dispassion, dependent on cessation, resulting in letting go
. Energy	vīriyindriyaṃ	The faculty of energy is to be seen in the four right strivings	dependent on seclusion, dependent on dispassion, dependent on cessation, resulting in letting go
. Mindfulness	satindriyaṃ	The faculty of faith is to be seen in the four establishments of mindfulness	dependent on seclusion, dependent on dispassion, dependent on cessation, resulting in letting go
. Concentration	samādhindriyaṃ	The faculty of faith is to be seen here in the four jhanas	dependent on seclusion, dependent on dispassion, dependent on cessation, resulting in letting go
. Discernment 	paññindriyaṃ 	The faculty of faith is to be seen here in the four noble truths 	dependent on seclusion, dependent on dispassion, dependent on cessation, resulting in letting go
Seven Factors for Awakening	bojjhaṅga
. Mindfulness	satisambojjhaṅgo	mindfulness with regard to internal and external qualities
. Investigation	dhammavicayasambojjhaṅgo	investigates, & scrutinizes internal and external qualities with discernment
. Persistence	vīriyasambojjhaṅgo	bodily and mental persistence
. Rapture	pītisambojjhaṅgo	rapture accompanied or unaccompanied by directed though & evaluation
. Serenity	passaddhisambojjhaṅgo	bodily or mental serenity
. Concentration	samādhisambojjhaṅgo	concentration accompanied or unaccompanied by directed though & evaluation
. Equanimity	upekkhāsambojjhaṅgo	equanimity with regard to internal and external qualities
Noble Eightfold Path 	ariya atthangika magga			SN 45.1, SN 45.8, AN 10.99, MN 44, MN 117
. Right View	sammādiṭṭhi	In a knowledgeable person, immersed in clearl knowing, right view arises	Clear knowing is the leader in the attainmen of skillful qualities, followed by shame & compunction
. Right Intention	sammāsaṅkappo	In one of right view, right resolve arises
. Right Speech 	sammāvāca	In one of right resolve, right speech arises
. Right Action	sammākammanto	In one of right speech, right action arises
. Right Livelihood	sammāājīvo	In one of right action, right livelihood arises
. Right Effort	sammāvāyāmo	In one of right livelihood, right effort arises
. Right Mindfulness	sammāsati	In one of right effort, right mindfulness arises
. Right Concentration	sammāsamādhi	In one of right mindfulness, right concentration arises



